Session: Session 1,,,
time,LM_2_O2,LM_2_RPM,LM_2_A1
(sec),(AFR),(RPM),(Volt)
35.06176,8.91,990,0.89
35.14368,8.93,990,0.89
35.22560,8.93,990,0.89
35.30752,8.94,990,0.91
35.38944,8.95,990,0.92
35.47136,8.95,990,0.95
35.55328,8.95,990,0.98
35.63520,8.95,1000,0.99
35.71712,8.96,1000,0.99
35.79904,8.97,1010,1.00
35.88096,9.00,1020,1.01
35.96288,8.99,1040,1.03
36.04480,8.97,1050,1.05
36.12672,8.98,1070,1.06
36.20864,9.00,1080,1.08
36.29056,9.04,1100,1.08
36.37248,9.06,1110,1.08
36.45440,9.06,1130,1.09
36.53632,9.08,1140,1.09
36.61824,9.08,1160,1.14
36.70016,9.08,1170,1.18
36.78208,9.08,1190,1.21
36.86400,9.11,1210,1.23
36.94592,9.14,1230,1.29
37.02784,9.13,1250,1.35
37.10976,9.12,1310,1.47
37.19168,9.12,1360,1.59
37.27360,9.14,1400,1.64
37.35552,9.16,1430,1.68
37.43744,9.21,1500,1.67
37.51936,9.19,1570,1.66
37.60128,9.16,1590,1.60
37.68320,9.17,1610,1.55
37.76512,9.15,1630,1.49
37.84704,9.06,1640,1.43
37.92896,8.96,1640,1.43
38.01088,8.89,1640,1.43
38.09280,8.88,1620,1.44
38.17472,8.89,1600,1.46
38.25664,8.92,1590,1.47
38.33856,8.94,1580,1.48
38.42048,8.92,1570,1.51
38.50240,8.93,1560,1.53
38.58432,8.97,1570,1.72
38.66624,8.99,1570,1.91
38.74816,9.05,1610,1.94
38.83008,9.24,1650,1.97
38.91200,9.26,1690,2.01
38.99392,9.19,1730,2.04
39.07584,9.15,1770,2.10
39.15776,9.10,1810,2.16
39.23968,9.02,1840,2.18
39.32160,8.90,1870,2.20
39.40352,8.82,1900,2.22
39.48544,8.69,1930,2.23
39.56736,8.57,1950,2.25
39.64928,8.53,1970,2.26
39.73120,8.49,1980,2.27
39.81312,8.44,1990,2.27
39.89504,8.40,2000,2.27
39.97696,8.38,2010,2.27
40.05888,8.35,2020,2.27
40.14080,8.32,2030,2.27
40.22272,8.31,2040,2.27
40.30464,8.31,2040,2.26
40.38656,8.26,2040,2.25
40.46848,8.26,2040,2.24
